epoch,fit/loss,fit/pred_loss,fit/sigreg_loss,step,validate/loss_epoch,validate/loss_step,validate/pred_loss_epoch,validate/pred_loss_step,validate/sigreg_loss_epoch,validate/sigreg_loss_step
0,2.644394636154175,0.3592384457588196,25.40625,49,,,,,,
0,1.8104223012924194,0.24987542629241943,17.34375,99,,,,,,
0,1.3246856927871704,0.10007631033658981,13.59375,149,,,,,,
0,1.0598465204238892,0.05984652042388916,11.109375,199,,,,,,
0,0.8677509427070618,0.04255561903119087,9.171875,249,,,,,,
0,0.8276146054267883,0.03464585542678833,8.8125,299,,,,,,
0,0.723189651966095,0.03275997191667557,7.6796875,349,,,,,,
0,0.6590176820755005,0.040853604674339294,6.8671875,399,,,,,,
0,0.5914338827133179,0.040652595460414886,6.109375,449,,,,,,
,,,,0,,0.7080557346343994,,0.04008696228265762,,7.421875
,,,,1,,0.7482602000236511,,0.03829924389719963,,7.8828125
,,,,2,,0.7682890295982361,,0.03293745964765549,,8.1796875
,,,,3,,0.7100603580474854,,0.03525567799806595,,7.4921875
,,,,4,,0.7302875518798828,,0.0339985117316246,,7.7421875
,,,,5,,0.7122777104377747,,0.038449592888355255,,7.484375
,,,,6,,0.6852850317955017,,0.03782409429550171,,7.1953125
,,,,7,,0.6918081045150757,,0.035558126866817474,,7.296875
,,,,8,,0.7318676114082336,,0.035578567534685135,,7.75
,,,,9,,0.6995436549186707,,0.03743423521518707,,7.3515625
,,,,10,,0.7014117240905762,,0.038325756788253784,,7.3671875
,,,,11,,0.7088649272918701,,0.03991959989070892,,7.4375
,,,,12,,0.7173200845718384,,0.03567947819828987,,7.5625
,,,,13,,0.750861406326294,,0.03504105657339096,,7.9453125
,,,,14,,0.7566152215003967,,0.03688862547278404,,8.0
,,,,15,,0.7906924486160278,,0.035809677094221115,,8.390625
,,,,16,,0.7127733826637268,,0.0389452688395977,,7.484375
,,,,17,,0.7169187664985657,,0.03430156782269478,,7.5859375
,,,,18,,0.7478652000427246,,0.03790431469678879,,7.8984375
,,,,19,,0.743007481098175,,0.035976193845272064,,7.8515625
,,,,20,,0.7591969966888428,,0.03654075786471367,,8.03125
,,,,21,,0.719958484172821,,0.03831786662340164,,7.5703125
,,,,22,,0.7556074857711792,,0.03881058841943741,,7.96875
,,,,23,,0.7080632448196411,,0.03716481477022171,,7.4609375
,,,,24,,0.7078299522399902,,0.036931514739990234,,7.453125
,,,,25,,0.7149689793586731,,0.0391877144575119,,7.5
,,,,26,,0.7255455255508423,,0.03609234467148781,,7.6640625
,,,,27,,0.7169773578643799,,0.03631333261728287,,7.5703125
,,,,28,,0.7266221046447754,,0.03619243949651718,,7.671875
,,,,29,,0.7169896364212036,,0.03437241166830063,,7.5859375
,,,,30,,0.6676161289215088,,0.0367567352950573,,7.0078125
,,,,31,,0.7149025201797485,,0.03521506488323212,,7.546875
,,,,32,,0.7080013155937195,,0.035149719566106796,,7.46875
,,,,33,,0.8052898049354553,,0.03478200361132622,,8.5546875
,,,,34,,0.6856482028961182,,0.03721073269844055,,7.203125
,,,,35,,0.720318078994751,,0.03965398296713829,,7.5546875
