epoch,fit/loss,fit/pred_loss,fit/sigreg_loss,step,validate/loss_epoch,validate/loss_step,validate/pred_loss_epoch,validate/pred_loss_step,validate/sigreg_loss_epoch,validate/sigreg_loss_step
,,,,6,,0.4928819239139557,,0.039756931364536285,,5.03125
,,,,7,,0.5490316152572632,,0.03340664133429527,,5.71875
,,,,8,,0.4552707374095917,,0.03534886613488197,,4.65625
,,,,9,,0.40085476636886597,,0.029761003330349922,,4.125
,,,,10,,0.44070419669151306,,0.03054795414209366,,4.5625
,,,,11,,0.5147205591201782,,0.030345555394887924,,5.375
,,,,12,,0.43552812933921814,,0.03318437188863754,,4.46875
,,,,13,,0.485249400138855,,0.03017127886414528,,5.0625
,,,,14,,0.45217570662498474,,0.03225384280085564,,4.65625
,,,,15,,0.533970832824707,,0.03592396527528763,,5.53125
,,,,16,,0.4699980318546295,,0.03054490126669407,,4.875
,,,,17,,0.4896215796470642,,0.034543462097644806,,5.0625
,,,,18,,0.4879778027534485,,0.02899341844022274,,5.09375
,,,,19,,0.5793446898460388,,0.032469671219587326,,6.0625
,,,,20,,0.5218122601509094,,0.03548416122794151,,5.40625
,,,,21,,0.45471644401550293,,0.03088831901550293,,4.71875
,,,,22,,0.47434180974960327,,0.03293555974960327,,4.90625
,,,,23,,0.44791069626808167,,0.03189506754279137,,4.625
,,,,24,,0.4450376331806183,,0.030975136905908585,,4.59375
,,,,25,,0.4949241876602173,,0.03008044697344303,,5.15625
,,,,26,,0.4840933382511139,,0.030968325212597847,,5.03125
,,,,27,,0.5182051062583923,,0.033830102533102036,,5.375
,,,,28,,0.5746496915817261,,0.031680941581726074,,6.03125
,,,,29,,0.5346070528030396,,0.03460707142949104,,5.5625
,,,,30,,0.5721691250801086,,0.03310663253068924,,6.0
,,,,31,,0.5533370971679688,,0.033805858343839645,,5.78125
,,,,32,,0.4648745357990265,,0.03128078579902649,,4.8125
,,,,33,,0.5391899347305298,,0.031377460807561874,,5.65625
,,,,34,,0.4656599760055542,,0.0301131010055542,,4.84375
,,,,35,,0.45540931820869446,,0.03548743203282356,,4.65625
,,,,36,,0.45779532194137573,,0.03592032194137573,,4.6875
,,,,37,,0.4124308228492737,,0.037430815398693085,,4.15625
,,,,38,,0.4833011031150818,,0.03408234193921089,,5.0
,,,,39,,0.5119638442993164,,0.0314951092004776,,5.34375
,,,,40,,0.5952309370040894,,0.03663719445466995,,6.1875
,,,,41,,0.46048420667648315,,0.0307967159897089,,4.78125
,,,,42,,0.46762970089912415,,0.028176570311188698,,4.875
,,,,43,,0.4887750744819641,,0.03369696065783501,,5.0625
,,,,44,,0.4488449692726135,,0.03282935544848442,,4.625
,,,,45,,0.4632020592689514,,0.03351456671953201,,4.78125
,,,,46,,0.447678804397583,,0.03166317939758301,,4.625
,,,,47,,0.4977382719516754,,0.036800775676965714,,5.125
,,,,48,,0.5594311952590942,,0.03208741918206215,,5.875
,,,,49,,0.5232139229774475,,0.03297952935099602,,5.4375
,,,,50,,0.4448702931404114,,0.030807800590991974,,4.59375
,,,,51,,0.5059935450553894,,0.03138416260480881,,5.28125
,,,,52,,0.4951602518558502,,0.034222740679979324,,5.125
,,,,53,,0.4126865267753601,,0.0337802916765213,,4.21875
,,,,54,,0.4528820514678955,,0.0329601913690567,,4.65625
,,,,55,,0.5020663738250732,,0.02941014990210533,,5.25
,,,,56,,0.5222679972648621,,0.03203364834189415,,5.4375
,,,,57,,0.4671071171760559,,0.033513374626636505,,4.8125
,,,,58,,0.45655256509780884,,0.03272445127367973,,4.71875
,,,,59,,0.5051985383033752,,0.036448560655117035,,5.21875
,,,,60,,0.5121539235115051,,0.033638305962085724,,5.3125
,,,,61,,0.44705986976623535,,0.031044241040945053,,4.625
,,,,62,,0.561559796333313,,0.03421607241034508,,5.875
,,,,63,,0.45301076769828796,,0.03308888152241707,,4.65625
,,,,64,,0.5037093162536621,,0.0349593348801136,,5.21875
,,,,65,,0.5132246017456055,,0.032755833119153976,,5.34375
,,,,66,,0.4770548939704895,,0.03174237906932831,,4.9375
,,,,67,,0.5234197974205017,,0.0331854373216629,,5.4375
,,,,68,,0.5230717062950134,,0.03283734992146492,,5.4375
,,,,69,,0.49028679728507996,,0.029349306598305702,,5.125
,,,,70,,0.489653080701828,,0.03457494452595711,,5.0625
,,,,71,,0.5109660029411316,,0.03245038911700249,,5.3125
,,,,72,,0.4389258921146393,,0.03462901711463928,,4.5
,,,,73,,0.5035319328308105,,0.03868817538022995,,5.15625
,,,,74,,0.4450042247772217,,0.034847989678382874,,4.5625
,,,,75,,0.44140681624412537,,0.03320368006825447,,4.53125
,,,,76,,0.4554029703140259,,0.033527955412864685,,4.6875
,,,,77,,0.48838189244270325,,0.03525688126683235,,5.03125
,,,,78,,0.41837358474731445,,0.03360794857144356,,4.28125
,,,,79,,0.49689263105392456,,0.032048895955085754,,5.15625
,,,,80,,0.4372735619544983,,0.034929800778627396,,4.46875
,,,,81,,0.5069815516471863,,0.03432531654834747,,5.25
,,,,82,,0.5503816604614258,,0.03475666046142578,,5.75
,,,,83,,0.5509791374206543,,0.0314478725194931,,5.78125
,,,,84,,0.4701950252056122,,0.03464816138148308,,4.84375
,,,,85,,0.5202750563621521,,0.03394694626331329,,5.40625
,,,,86,,0.4966775178909302,,0.03574000298976898,,5.125
,,,,87,,0.5047516226768494,,0.03014225699007511,,5.28125
,,,,88,,0.46024462580680847,,0.03641649708151817,,4.71875
,,,,89,,0.4778212606906891,,0.03836812451481819,,4.875
,,,,90,,0.5450870990753174,,0.033368341624736786,,5.6875
,,,,91,,0.5411039590835571,,0.03329145908355713,,5.65625
,,,,92,,0.4609900116920471,,0.033255644142627716,,4.75
,,,,93,,0.476012647151947,,0.03460639342665672,,4.90625
,,,,94,,0.46312791109085083,,0.03539352864027023,,4.75
,,,,95,,0.4535982608795166,,0.033676374703645706,,4.65625
,,,,96,,0.5196151733398438,,0.03524017333984375,,5.375
,,,,97,,0.5180880427360535,,0.03371306136250496,,5.375
,,,,98,,0.47486090660095215,,0.02954840660095215,,4.9375
,,,,99,,0.5776069760322571,,0.030731962993741035,,6.09375
,,,,100,,0.4565424919128418,,0.03466750681400299,,4.6875
,,,,101,,0.4681474268436432,,0.03455368056893349,,4.8125
,,,,102,,0.4674633741378784,,0.03386963531374931,,4.8125
,,,,103,,0.46443966031074524,,0.03670527786016464,,4.75
,,,,104,,0.5618175268173218,,0.034473761916160583,,5.875
,,,,105,,0.5155407190322876,,0.029212580993771553,,5.40625
,,,,106,,0.48461756110191345,,0.031492557376623154,,5.03125
,,,,107,,0.4559662640094757,,0.03604438528418541,,4.65625
,,,,108,,0.5088642239570618,,0.03034857288002968,,5.3125
,,,,109,,0.4780813157558441,,0.030815700069069862,,4.96875
,,,,110,,0.4898340404033661,,0.03670904412865639,,5.03125
,,,,111,,0.4766025245189667,,0.03519628569483757,,4.90625
,,,,112,,0.4904685318470001,,0.029531041160225868,,5.125
,,,,113,,0.45444393157958984,,0.034522056579589844,,4.65625
,,,,114,,0.44364118576049805,,0.03348492830991745,,4.5625
,,,,115,,0.46695676445961,,0.03140988573431969,,4.84375
,,,,116,,0.4771218001842499,,0.027903050184249878,,5.0
,,,,117,,0.5478232502937317,,0.032198239117860794,,5.75
,,,,118,,0.4713740646839142,,0.03582719713449478,,4.84375
,,,,119,,0.47092461585998535,,0.02951836585998535,,4.90625
,,,,120,,0.48265981674194336,,0.033441055566072464,,5.0
,,,,121,,0.46307244896888733,,0.03533806651830673,,4.75
,,,,122,,0.4793727397918701,,0.034060243517160416,,4.9375
,,,,123,,0.46456488966941833,,0.030971143394708633,,4.8125
,,,,124,,0.4794633984565735,,0.034150898456573486,,4.9375
,,,,125,,0.4700213074684143,,0.028615044429898262,,4.90625
,,,,126,,0.48851028084754944,,0.03538528084754944,,5.03125
,,,,127,,0.6561965346336365,,0.03510277345776558,,6.90625
,,,,128,,0.6574032306671143,,0.032403215765953064,,6.9375
,,,,129,,0.4727722108364105,,0.033319082111120224,,4.875
,,,,130,,0.4649583399295807,,0.03527083247900009,,4.78125
,,,,131,,0.4937022924423218,,0.032764796167612076,,5.125
,,,,132,,0.5233645439147949,,0.03313015401363373,,5.4375
,,,,133,,0.43436476588249207,,0.03592727333307266,,4.4375
,,,,134,,0.5089859366416931,,0.03437655046582222,,5.28125
,,,,135,,0.45283228158950806,,0.03291042149066925,,4.65625
,,,,136,,0.5138573050498962,,0.02948232926428318,,5.375
,,,,137,,0.5019130110740662,,0.03511615842580795,,5.1875
,,,,138,,0.4585077166557312,,0.030773336067795753,,4.75
,,,,139,,0.5932723879814148,,0.0346786230802536,,6.21875
,,,,140,,0.4384203851222992,,0.04193602129817009,,4.40625
,,,,141,,0.46398302912712097,,0.03038928285241127,,4.8125
,,,,142,,0.45464304089546204,,0.03276805207133293,,4.6875
,,,,143,,0.5775354504585266,,0.038472969084978104,,6.0
,,,,144,,0.4488336145877838,,0.03281799331307411,,4.625
,,,,145,,0.4669742286205292,,0.03338048607110977,,4.8125
,,,,146,,0.49970853328704834,,0.032911647111177444,,5.1875
,,,,147,,0.47813880443573,,0.036732546985149384,,4.90625
,,,,148,,0.4927111268043518,,0.03763299062848091,,5.0625
,,,,149,,0.49229714274406433,,0.033312778919935226,,5.09375
,,,,150,,0.4564908742904663,,0.03266274183988571,,4.71875
,,,,151,,0.48154735565185547,,0.03232859447598457,,5.0
,,,,152,,0.6519635915756226,,0.0308698620647192,,6.90625
,,,,153,,0.44226568937301636,,0.028203196823596954,,4.59375
,,,,154,,0.45238393545150757,,0.030508926138281822,,4.6875
,,,,155,,0.44652092456817627,,0.03831781446933746,,4.53125
,,,,156,,0.6132040619850159,,0.031172791495919228,,6.46875
,,,,157,,0.5274040699005127,,0.033263467252254486,,5.5
,,,,158,,0.4693849980831146,,0.03579125180840492,,4.8125
,,,,159,,0.5749703049659729,,0.035907793790102005,,5.96875
,,,,160,,0.4570164680480957,,0.0331883430480957,,4.71875
,,,,161,,0.48719099164009094,,0.03211287781596184,,5.0625
,,,,162,,0.45590755343437195,,0.03207943215966225,,4.71875
,,,,163,,0.44349732995033264,,0.03334108367562294,,4.5625
,,,,164,,0.5290593504905701,,0.03101247549057007,,5.53125
,,,,165,,0.5891999006271362,,0.03841864690184593,,6.125
,,,,166,,0.47448083758354187,,0.03502771630883217,,4.875
,,,,167,,0.4021153450012207,,0.0310216024518013,,4.125
,,,,168,,0.4969487488269806,,0.03015187755227089,,5.1875
,,,,169,,0.502521812915802,,0.03377178683876991,,5.21875
,,,,170,,0.5364540815353394,,0.038407184183597565,,5.53125
,,,,171,,0.5581125020980835,,0.030768776312470436,,5.84375
,,,,172,,0.5391879677772522,,0.035281743854284286,,5.59375
,,,,173,,0.5573657155036926,,0.03392823785543442,,5.8125
,,,,174,,0.42975714802742004,,0.03131965175271034,,4.4375
,,,,175,,0.5162875056266785,,0.03191252425312996,,5.375
,,,,176,,0.543241024017334,,0.03542853891849518,,5.625
,,,,177,,0.5616452097892761,,0.03430146723985672,,5.875
,,,,178,,0.4928266108036041,,0.031889114528894424,,5.125
,,,,179,,0.467851459980011,,0.03425772488117218,,4.8125
,,,,180,,0.48055708408355713,,0.03524458780884743,,4.9375
,,,,181,,0.5201012492179871,,0.029866898432374,,5.4375
,,,,182,,0.4677566587924957,,0.03416289761662483,,4.8125
,,,,183,,0.5087546110153198,,0.03023899905383587,,5.3125
,,,,184,,0.4177573323249817,,0.03299170732498169,,4.28125
,,,,185,,0.4160457253456116,,0.031280092895030975,,4.28125
,,,,186,,0.5729726552963257,,0.03781639784574509,,5.9375
,,,,187,,0.47994357347488403,,0.03072483092546463,,5.0
,,,,188,,0.5340081453323364,,0.030101874843239784,,5.59375
,,,,189,,0.4573037624359131,,0.03738187626004219,,4.65625
